Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
01-Jan-2021,32608.95,32807.65,32554.35,32765.95,354161209,5571.06
04-Jan-2021,32998.95,33347.85,32805.30,33281.65,395945593,8039.85
05-Jan-2021,33219.80,33895.90,32986.15,33818.75,341021632,9986.69
06-Jan-2021,33951.20,34068.80,33376.25,33755.50,424441455,12100.69
07-Jan-2021,34074.50,34138.75,33826.30,33889.35,277306833,8992.83
08-Jan-2021,34124.10,34364.25,34075.20,34331.05,273434525,9889.38
11-Jan-2021,34566.95,34570.65,34143.60,34458.60,241771508,8572.40
12-Jan-2021,34462.85,34563.45,34299.05,34363.20,449979738,10289.42
13-Jan-2021,34543.05,34644.30,33756.80,34156.00,533212848,10834.66
14-Jan-2021,34264.55,34357.05,34018.00,34318.45,381119232,8268.04
15-Jan-2021,34432.60,34518.35,33606.35,33780.95,364155086,9069.77
18-Jan-2021,33748.80,33763.75,32870.05,33159.65,312904335,8065.98
19-Jan-2021,33369.85,33771.05,33359.20,33725.20,296694551,8218.34
20-Jan-2021,33809.25,33995.10,33755.45,33917.40,321365459,8068.62
21-Jan-2021,34165.50,34242.95,33451.15,33614.55,359570809,11807.01
22-Jan-2021,33683.05,33841.55,33231.05,33339.15,384401523,10841.09
25-Jan-2021,33618.05,33680.30,32636.75,33080.45,298626714,9537.41
27-Jan-2021,33113.90,33113.90,32511.80,32642.55,290461071,8772.53
28-Jan-2021,32367.65,32711.10,32205.85,32513.45,443586896,10277.83
29-Jan-2021,32784.40,32805.55,31638.15,31743.25,372481453,11418.40
01-Feb-2021,31992.75,32747.95,31647.65,32661.55,466000489,9890.67
02-Feb-2021,33001.10,33373.60,32809.45,33327.10,457052312,10657.05
03-Feb-2021,33502.25,33687.95,33231.75,33486.10,504652602,10204.31
04-Feb-2021,33606.10,34064.70,33477.75,34023.95,654375812,10007.69
05-Feb-2021,34265.90,34367.35,33728.80,33790.85,621172062,10650.47
08-Feb-2021,33994.05,34213.80,33980.80,34165.25,408766373,8747.80
09-Feb-2021,34303.90,34420.05,34017.80,34147.30,611939560,10876.22
10-Feb-2021,34226.75,34340.65,33928.65,34281.55,456225075,10880.98
11-Feb-2021,34261.15,34585.10,34235.65,34541.10,388250539,9679.77
12-Feb-2021,34653.70,34748.60,34448.35,34626.75,471052153,12199.12
15-Feb-2021,34816.95,35114.55,34790.45,34993.75,394651948,10534.82
16-Feb-2021,35109.10,35243.05,34849.15,35133.20,413545749,10688.12
17-Feb-2021,35179.95,35326.10,35039.10,35205.15,796407980,13602.28
18-Feb-2021,35364.95,35553.80,35248.30,35377.15,832159963,14441.42
19-Feb-2021,35406.95,35478.70,34558.75,34906.90,842325270,13255.95
22-Feb-2021,34938.25,35024.55,34192.15,34340.75,449764500,8903.27
23-Feb-2021,34520.95,34716.90,34311.70,34581.30,465676999,10069.07
24-Feb-2021,34825.00,34850.50,34396.60,34766.10,213907687,5495.16
25-Feb-2021,34994.75,35180.15,34933.30,34996.80,353113185,9566.72
26-Feb-2021,34624.45,35009.25,34041.75,34226.35,525601359,13881.55
01-Mar-2021,34491.40,34655.05,34326.60,34552.05,315690553,7091.72
02-Mar-2021,34787.55,35233.00,34708.25,35151.35,286795649,7196.91
03-Mar-2021,35436.10,35752.05,35366.70,35712.75,437394160,9210.63
04-Mar-2021,35440.00,35958.25,35327.40,35777.45,439163037,9153.07
05-Mar-2021,35618.85,35798.25,35096.45,35258.45,368098655,8683.30
08-Mar-2021,35454.90,35537.70,35146.45,35199.25,243150625,5953.29
09-Mar-2021,35387.90,35489.40,34684.75,34927.50,233102295,6299.48
10-Mar-2021,35143.95,35223.60,34947.75,35138.00,183577297,5687.06
12-Mar-2021,35376.75,35395.10,34760.90,34808.95,263312904,7126.93
15-Mar-2021,34946.45,34958.60,34201.10,34624.10,279561896,6116.75
16-Mar-2021,34776.15,34871.55,34641.20,34786.00,264500107,5659.79
17-Mar-2021,34812.10,34861.35,34025.55,34102.10,268307393,8063.91
18-Mar-2021,34324.90,34406.00,33465.70,33692.85,308895869,7099.38
19-Mar-2021,33459.20,34117.25,32873.40,34075.85,391312929,9019.90
22-Mar-2021,34256.50,34479.25,34133.85,34412.85,261617010,7479.10
23-Mar-2021,34597.50,34923.40,34569.25,34832.20,313395858,8033.32
24-Mar-2021,34668.50,34937.90,34257.90,34310.00,290729945,6735.26
