Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
01-Jan-2019,28243.95,28252.20,27988.60,28111.65,100916543,2354.60
02-Jan-2019,28074.05,28188.40,27801.75,27876.95,167334185,3410.28
03-Jan-2019,27874.05,28045.30,27630.20,27674.65,175238949,3362.20
04-Jan-2019,27707.20,27842.75,27533.90,27719.50,163387940,3295.06
07-Jan-2019,27893.95,27932.00,27652.95,27706.60,135700262,2862.02
08-Jan-2019,27726.75,27799.50,27625.80,27689.10,130644927,3152.52
09-Jan-2019,27780.05,27818.90,27470.90,27683.50,148827202,3227.23
10-Jan-2019,27719.40,27820.60,27675.95,27798.20,137215850,3330.28
11-Jan-2019,27816.90,27842.00,27592.10,27707.55,108041758,2753.97
14-Jan-2019,27653.70,27659.85,27391.65,27514.85,112371202,3071.25
15-Jan-2019,27603.25,27744.15,27574.25,27712.60,103197975,2867.13
16-Jan-2019,27740.15,27848.55,27677.50,27727.65,102816080,2688.58
17-Jan-2019,27779.35,27847.45,27619.85,27710.65,119276971,2818.34
18-Jan-2019,27763.45,27768.60,27335.20,27410.55,130958764,2971.54
21-Jan-2019,27441.30,27617.40,27292.25,27322.40,136502965,2744.19
22-Jan-2019,27323.20,27452.65,27150.60,27430.75,156924715,3741.98
23-Jan-2019,27457.70,27479.35,27227.30,27264.05,130205519,3665.24
24-Jan-2019,27300.80,27342.10,27118.40,27232.60,157633445,4238.52
25-Jan-2019,27321.45,27375.45,26751.60,26868.30,162390258,4148.04
28-Jan-2019,26868.45,26878.40,26237.25,26372.10,161788804,3694.54
29-Jan-2019,26309.55,26491.20,26162.50,26398.80,160200682,3412.52
30-Jan-2019,26499.20,26506.65,26264.60,26396.15,155005286,3444.79
31-Jan-2019,26500.00,26581.30,26337.10,26555.60,228479498,4883.75
01-Feb-2019,26630.05,27046.25,26537.25,26828.20,221881234,4763.69
04-Feb-2019,26820.95,26824.75,26401.05,26588.20,135082848,2932.42
05-Feb-2019,26583.55,26642.20,26301.35,26397.75,173479315,3209.26
06-Feb-2019,26488.90,26709.95,26257.00,26639.80,153226523,3544.46
07-Feb-2019,26681.85,27011.40,26652.95,26956.15,212181116,4342.42
08-Feb-2019,26897.10,26922.60,26498.05,26536.60,175437725,3386.54
11-Feb-2019,26486.25,26508.05,26134.50,26240.00,166473702,3671.62
12-Feb-2019,26259.25,26336.60,26060.60,26094.40,164251404,2955.06
13-Feb-2019,26159.40,26195.60,25787.85,25826.95,149702336,3405.21
14-Feb-2019,25767.90,25977.95,25758.40,25945.70,192491625,3335.83
15-Feb-2019,25911.55,25932.20,25308.95,25500.60,188739756,3701.79
18-Feb-2019,25490.00,25496.65,25131.55,25296.45,129701175,3103.96
19-Feb-2019,25310.65,25556.90,25307.10,25337.50,173028390,3340.21
20-Feb-2019,25434.10,25732.05,25434.10,25677.30,170327880,3468.71
