Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
01-Jan-2020,28353.45,28436.80,28272.30,28293.35,138671499,2473.80
02-Jan-2020,28325.45,28552.80,28314.55,28535.40,229906379,4109.02
03-Jan-2020,28493.60,28585.90,28385.60,28478.95,236965716,4887.93
06-Jan-2020,28316.45,28338.35,27831.35,27894.90,251654927,4992.58
07-Jan-2020,28049.55,28347.30,27971.75,28101.20,282395888,5273.44
08-Jan-2020,27739.05,28145.40,27738.40,28113.55,499260131,4593.78
09-Jan-2020,28397.10,28517.05,28349.35,28484.30,568303526,5511.42
10-Jan-2020,28556.70,28680.70,28463.25,28556.05,270001708,5203.05
13-Jan-2020,28669.35,28807.45,28631.25,28783.55,276928083,4748.10
14-Jan-2020,28836.50,28917.00,28770.00,28845.25,218443697,5119.10
15-Jan-2020,28862.50,28986.05,28716.65,28957.95,283151481,5161.12
16-Jan-2020,29068.20,29101.55,28898.25,28978.60,332827652,4677.17
17-Jan-2020,28957.30,29083.95,28929.25,29034.85,1203642577,4863.54
20-Jan-2020,29122.85,29162.70,28724.40,28754.45,566303599,4847.53
21-Jan-2020,28699.10,28801.20,28583.85,28617.35,808450424,5063.93
22-Jan-2020,28711.35,28742.00,28552.90,28593.00,547571882,6117.55
23-Jan-2020,28638.35,28936.75,28604.95,28898.30,826459458,7188.96
24-Jan-2020,28888.60,29204.40,28835.20,29153.75,340096134,5393.14
27-Jan-2020,29058.75,29259.50,28895.00,28960.75,302957248,4800.22
28-Jan-2020,29034.75,29144.10,28846.95,28888.75,428737198,6676.01
29-Jan-2020,29025.20,29145.70,28980.75,29045.40,340660266,5005.26
30-Jan-2020,29078.75,29094.85,28423.30,28533.00,411849747,6298.78
31-Jan-2020,28656.10,28694.30,28263.15,28294.60,372809537,6127.79
01-Feb-2020,28283.10,28617.90,27215.60,27340.50,320520918,6111.68
03-Feb-2020,27302.10,27672.45,27193.85,27534.70,358962073,7240.92
04-Feb-2020,27728.85,28243.10,27722.50,28112.45,339261994,8141.86
05-Feb-2020,28235.30,28565.75,28172.05,28537.80,331802455,6705.38
06-Feb-2020,28625.30,28934.70,28599.95,28871.35,444953742,11085.20
07-Feb-2020,28900.00,29088.25,28814.25,29046.45,364301729,8442.77
10-Feb-2020,29066.95,29075.35,28851.35,28953.70,301117446,5942.05
11-Feb-2020,29086.65,29129.15,28821.20,28854.35,344653397,7237.28
12-Feb-2020,28927.40,29045.95,28743.45,28855.35,518283911,7850.11
13-Feb-2020,28829.50,28844.65,28682.75,28807.60,291899764,5789.68
14-Feb-2020,28790.40,28894.65,28453.50,28501.05,1588581995,6581.41
17-Feb-2020,28513.65,28572.75,28143.40,28169.60,975829450,4721.42
18-Feb-2020,28116.45,28116.45,27750.75,28060.35,843614883,5215.97
19-Feb-2020,28290.20,28643.35,28284.75,28630.75,1199214781,6983.08
20-Feb-2020,28632.20,28958.75,28627.55,28669.80,1218901871,8620.21
24-Feb-2020,28478.80,28599.25,28011.10,28073.90,901624094,6759.02
25-Feb-2020,28217.20,28356.05,27835.25,27863.65,814697493,6929.63
26-Feb-2020,27757.65,27826.25,27401.15,27470.15,532868825,6520.65
27-Feb-2020,27451.50,27458.55,27087.35,27404.30,632236444,6683.73
28-Feb-2020,26859.65,26887.50,26287.90,26482.00,729355138,10292.97
