Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
02-Jan-2017,21488.55,21604.70,21346.40,21580.25,86382438,2421.89
03-Jan-2017,21640.35,21804.90,21588.40,21753.45,84628349,2563.08
04-Jan-2017,21821.20,21866.10,21681.35,21724.85,106773055,3099.02
05-Jan-2017,21829.55,22087.75,21822.95,22074.60,96419437,2776.48
06-Jan-2017,22141.95,22227.60,21977.30,22024.45,105287891,3203.08
09-Jan-2017,22098.70,22125.00,22009.90,22035.50,67986566,2293.60
10-Jan-2017,22108.75,22276.55,22080.55,22260.50,82500303,2816.91
11-Jan-2017,22346.40,22560.25,22319.00,22543.25,135762867,3834.40
12-Jan-2017,22584.20,22646.50,22501.25,22622.70,184031313,3097.59
13-Jan-2017,22696.15,22705.15,22499.45,22647.65,103776480,2428.89
16-Jan-2017,22679.30,22802.20,22617.20,22789.90,105080175,2505.77
17-Jan-2017,22856.65,22911.35,22724.70,22779.35,118775166,3460.11
18-Jan-2017,22827.70,22977.95,22811.40,22919.10,100466433,3256.14
19-Jan-2017,22926.70,23004.35,22897.20,22983.95,90536396,2959.02
20-Jan-2017,22940.65,23000.65,22604.55,22646.05,89824320,2823.37
23-Jan-2017,22640.05,22856.80,22626.30,22843.30,80938288,2747.83
24-Jan-2017,22927.75,23111.80,22881.60,23087.35,82747534,2581.31
25-Jan-2017,23155.30,23434.65,23121.85,23395.60,191470353,5352.44
27-Jan-2017,23429.20,23657.90,23414.90,23520.30,144164894,3836.72
30-Jan-2017,23505.15,23686.10,23438.65,23651.35,92515481,3246.07
31-Jan-2017,23704.10,23709.60,23240.05,23279.30,129783834,4283.97
01-Feb-2017,23350.50,23783.10,23258.90,23756.90,143282829,4125.47
02-Feb-2017,23795.10,23978.60,23728.35,23916.60,136692085,3941.47
03-Feb-2017,23985.10,24055.25,23858.50,23943.15,114974636,3690.37
06-Feb-2017,24089.40,24230.45,24073.50,24205.75,106809810,3550.30
07-Feb-2017,24267.40,24312.20,24009.50,24130.35,147302748,4129.97
08-Feb-2017,24225.00,24321.15,24042.45,24249.20,128374599,3841.91
09-Feb-2017,24254.00,24337.45,24042.75,24257.80,99347178,3120.04
10-Feb-2017,24324.55,24325.95,24140.95,24201.85,105641044,2877.42
13-Feb-2017,24280.10,24298.10,24005.05,24204.30,96823349,2630.89
14-Feb-2017,24260.95,24261.25,23910.45,23974.85,109099006,3148.41
15-Feb-2017,23956.50,24008.95,23592.15,23673.60,113053212,3069.95
16-Feb-2017,23707.40,24126.25,23580.60,24084.10,128385591,3829.02
17-Feb-2017,24230.00,24317.15,24118.95,24250.80,98287320,3261.41
20-Feb-2017,24286.80,24423.50,24218.55,24405.35,85200603,2613.04
21-Feb-2017,24452.70,24641.50,24424.05,24614.05,83736370,2764.40
22-Feb-2017,24668.35,24671.70,24403.45,24462.90,104236090,3105.24
23-Feb-2017,24495.05,24532.60,24335.30,24376.85,157734930,4884.94
27-Feb-2017,24375.75,24450.70,24328.80,24349.55,88413897,3216.26
28-Feb-2017,24401.85,24471.85,24349.50,24424.35,98161933,3247.52
01-Mar-2017,24509.60,24563.95,24401.45,24456.65,115330095,3463.77
02-Mar-2017,24588.95,24617.95,24056.70,24102.70,131893576,4091.86
03-Mar-2017,24052.50,24130.05,23909.85,24091.20,98384922,4210.30
06-Mar-2017,24182.55,24252.50,24143.50,24228.35,76416013,2345.97
07-Mar-2017,24275.75,24291.35,24174.45,24203.80,88453317,2658.79
08-Mar-2017,24240.35,24240.45,23953.90,24124.10,99420099,3281.46
09-Mar-2017,24126.35,24185.35,24044.15,24089.85,73010535,2556.79
10-Mar-2017,24148.20,24213.45,23976.25,24042.35,69793490,2053.43
14-Mar-2017,24395.20,24463.25,24247.80,24425.90,101444145,3623.06
15-Mar-2017,24473.30,24622.90,24445.20,24581.95,84063805,2951.33
16-Mar-2017,24702.80,24938.65,24694.70,24924.90,125955160,3624.69
17-Mar-2017,24995.70,25022.45,24821.05,24914.80,115175433,3768.29
20-Mar-2017,24977.25,24977.25,24847.85,24918.65,85550172,2658.62
21-Mar-2017,24919.50,24919.50,24622.85,24781.00,101166259,4350.26
22-Mar-2017,24593.45,24599.10,24443.50,24550.15,118760496,3940.77
23-Mar-2017,24702.55,24820.85,24696.10,24795.85,116387309,3921.64
24-Mar-2017,24830.95,24931.25,24786.55,24805.50,113326227,3148.85
27-Mar-2017,24819.10,24868.00,24678.90,24701.90,105752248,2845.53
28-Mar-2017,24765.15,24925.65,24752.25,24892.30,96138454,3028.71
29-Mar-2017,24940.50,24950.25,24810.20,24911.20,113405188,3349.79
30-Mar-2017,24936.25,25063.05,24920.80,25013.00,196595701,6168.50
31-Mar-2017,25066.25,25161.70,25026.10,25119.45,128091643,3275.75
03-Apr-2017,25146.90,25248.40,25106.70,25217.15,95494347,2641.29
05-Apr-2017,25310.10,25494.95,25238.00,25478.10,133158405,3444.57
06-Apr-2017,25444.95,25580.80,25394.55,25561.40,142535836,3209.71
07-Apr-2017,25513.50,25740.75,25480.75,25552.95,141133895,3430.30
10-Apr-2017,25618.05,25761.10,25559.85,25732.90,109755251,3217.75
11-Apr-2017,25701.75,25908.80,25693.65,25872.80,187969166,4450.67
12-Apr-2017,25901.45,26008.70,25631.95,25915.65,151893638,4306.15
13-Apr-2017,25924.65,25932.45,25823.60,25872.45,100580516,2889.19
17-Apr-2017,25910.35,25969.30,25759.95,25813.25,149863709,3313.17
18-Apr-2017,25861.75,26017.15,25506.95,25539.05,148729152,3667.14
19-Apr-2017,25527.65,25737.35,25494.90,25694.35,132606096,3266.92
20-Apr-2017,25809.95,25873.40,25714.40,25786.75,105742412,3056.45
21-Apr-2017,25913.80,25941.95,25729.75,25845.65,156534460,3519.99
24-Apr-2017,25887.45,26083.40,25845.30,26062.35,118866823,2849.86
25-Apr-2017,26183.15,26478.00,26166.95,26461.40,155741899,4164.17
26-Apr-2017,26557.55,26565.65,26170.90,26407.45,137443331,3986.19
27-Apr-2017,26445.65,26470.05,26241.55,26281.10,122169361,4085.09
28-Apr-2017,26299.60,26412.00,26248.05,26323.60,119149341,3384.67
02-May-2017,26395.65,26522.90,26242.45,26457.55,111497470,3337.53
03-May-2017,26571.35,26640.00,26386.50,26441.45,110380525,3141.56
04-May-2017,26501.95,26543.95,26419.10,26514.45,115444604,2902.07
05-May-2017,26508.80,26515.15,26013.40,26142.25,144606884,3499.21
08-May-2017,26226.95,26297.45,26171.10,26255.30,124196759,2846.76
09-May-2017,26310.40,26484.15,26223.65,26465.10,126935504,3848.57
10-May-2017,26578.15,26833.60,26569.35,26806.70,130572217,3596.08
11-May-2017,26895.30,26947.35,26784.55,26849.65,141201369,4323.52
12-May-2017,26852.80,26864.05,26546.10,26725.20,139172004,4534.49
15-May-2017,26831.85,26979.00,26780.65,26949.10,151031875,4437.33
16-May-2017,27029.90,27031.65,26882.05,26940.95,179250793,4547.90
17-May-2017,26929.90,26983.35,26752.20,26799.55,155314543,4236.49
18-May-2017,26609.55,26671.20,26193.35,26251.05,129782143,3667.85
19-May-2017,26399.50,26477.80,25846.85,26099.30,131197279,4487.52
