SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
KOPRAN,EQ,27,27,25.75,26.7,26.5,26.45,14052,371088.05,27-OCT-2019,196,INE082A01010,
KOTAKBANK,EQ,1594,1601,1590.15,1593,1593.15,1588.6,197634,315177157.3,27-OCT-2019,6555,INE237A01028,
KOTAKBKETF,EQ,304.24,304.24,297,302.73,301.5,301.92,4079,1231186.27,27-OCT-2019,147,INF174K01F59,
KOTAKGOLD,EQ,345.5,346,341.3,343.2,343,344.6,22624,7783951.6,27-OCT-2019,1167,INF373I01049,
KOTAKNIFTY,EQ,121.11,121.11,119.91,120.29,120.6,120.34,13589,1634091.97,27-OCT-2019,261,INF174K014P6,
KOTAKNV20,EQ,57.5,57.5,55.1,57.23,57.25,56.99,4653,265460.87,27-OCT-2019,93,INF174K01Z71,
KOTAKPSUBK,EQ,229.36,231.36,226.5,228.11,227,224.36,1337,305279.49,27-OCT-2019,45,INF373I01023,
KOTARISUG,EQ,10.05,10.3,9.85,9.95,10,10.2,12412,124603.8,27-OCT-2019,45,INE419A01022,
KOTHARIPET,EQ,17.7,17.7,16.3,16.9,17,17,531,9140.8,27-OCT-2019,23,INE720A01015,
KOTHARIPRO,EQ,59.05,61.4,56.95,59.6,61.4,60.7,4500,263623.85,27-OCT-2019,147,INE823A01017,
KPITTECH,EQ,98.2,98.7,95.4,96,95.9,96.45,24758,2395376.5,27-OCT-2019,608,INE04I401011,
KPRMILL,EQ,651,662.8,646.3,649.75,651,650.85,3866,2516541.65,27-OCT-2019,225,INE930H01023,
KRBL,EQ,220.55,226.8,220.55,224.85,225,224.5,9664,2172775.7,27-OCT-2019,372,INE001B01026,
KREBSBIO,EQ,96,96,89.1,93.65,89.3,94.5,94,8863.45,27-OCT-2019,12,INE268B01013,
KRIDHANINF,EQ,5.75,5.9,5.5,5.65,5.9,5.75,25713,143772.9,27-OCT-2019,89,INE524L01026,
KRISHANA,EQ,53,53,53,53,53,54.85,300,15900,27-OCT-2019,3,INE506W01012,
KSB,EQ,662.5,686,662.5,677.8,675,668.2,1063,711302,27-OCT-2019,124,INE999A01015,
KSCL,EQ,499.6,500,494,496.6,497,493.8,4673,2324031.95,27-OCT-2019,351,INE455I01029,
KSERASERA,BE,0.1,0.1,0.05,0.1,0.1,0.1,152316,14076.55,27-OCT-2019,65,INE216D01026,
KSK,EQ,0.55,0.55,0.5,0.5,0.55,0.5,142985,74453.8,27-OCT-2019,55,INE143H01015,
KSL,EQ,186.75,187.2,183.75,185.1,184.2,183.65,9899,1834939.25,27-OCT-2019,276,INE907A01026,
KTIL,EQ,30.95,30.95,30.5,30.8,30.7,30.4,246,7576.3,27-OCT-2019,11,INE096L01025,
KTKBANK,EQ,73.25,74,73.1,73.4,73.5,72.4,180579,13270301.3,27-OCT-2019,1780,INE614B01018,
KUANTUM,EQ,459.9,500,430,498.65,488.95,447,434,207793.1,27-OCT-2019,21,INE529I01013,
KWALITY,BE,2.2,2.2,2.2,2.2,2.2,2.1,208733,459212.6,27-OCT-2019,73,INE775B01025,
L&TFH,EQ,89.5,90.35,89.2,89.5,89.4,89.15,1143539,102437414,27-OCT-2019,9444,INE498L01015,
L&TFINANCE,NA,1049,1049,1049,1049,1049,1045,25,26225,27-OCT-2019,1,INE027E07915,
L&TFINANCE,NE,1090,1090,1090,1090,1090,1071.99,50,54500,27-OCT-2019,1,INE027E07956,
L&TFINANCE,NU,1095,1095,1095,1095,1095,1080,3,3285,27-OCT-2019,1,INE027E07AL1,
L&TINFRA,N1,1058.99,1058.99,1058.99,1058.99,1058.99,1047,1,1058.99,27-OCT-2019,1,INE691I07166,
L&TINFRA,N2,1888.1,1888.1,1887.1,1887.1,1887.1,1897,20,37748,27-OCT-2019,3,INE691I07174,
L&TINFRA,N4,1851,1851,1850,1850,1850,1850.17,20,37002,27-OCT-2019,2,INE691I07190,
L&TINFRA,N6,1919,1920,1916,1919.21,1920,1919.33,38,72897.25,27-OCT-2019,5,INE691I07232,
